教科,単元,難易度,問題,解答,解説,ポイント,期限
国語,漢字の読み書き,基本,次の熟語の読み方をひらがなで答えなさい。「率直」,そっちょく,「率直」は、思ったことをありのままに表す様子を意味する熟語である。,5,
国語,漢字の読み書き,基本,次の文の傍線部のひらがなを漢字に直しなさい。「彼は失敗をかくごしていたようだ。」,覚悟,「覚悟」は、困難なことをあらかじめ予想して心構えをすることを意味する。,5,
国語,漢字の読み書き,標準,次の熟語の読み方をひらがなで答えなさい。「顕著」,けんちょ,「顕著」は、特徴や違いなどがはっきりと目立って表れている様子を意味する。,10,
国語,漢字の読み書き,応用,次の文の傍線部のひらがなを漢字に直しなさい。「彼女は人の失敗をかんように受け止める人だ。」,寛容,「寛容」は、心が広く、人の言動や過ちを厳しく責めずに受け入れることを意味する。,15,
国語,文法,基本,動詞「起きる」の活用の種類を答えなさい。,上一段活用,「起きる」は活用しても語幹の後がイ段の音のままであるため、上一段活用の動詞である。,5,
国語,文法,標準,次の文の傍線部「ない」の品詞名を答えなさい。「彼女はピアノを弾かない。」,助動詞,動詞の未然形「弾か」に付いて打消の意味を表しているため、この「ない」は助動詞である。,10,
国語,文法,標準,次の文の傍線部「ので」が表す意味を答えなさい。「雨が降ったので、遠足は中止になった。」,原因・理由,「ので」は前の事柄が後の事柄の原因・理由であることを示す接続助詞である。,10,
国語,文法,応用,次の文の傍線部「れる」の意味・用法を答えなさい。「先生が話される内容は、生徒たちの心に強く残った。」,尊敬,この「れる」は、先生の行為に対する敬意を表す尊敬の助動詞としての用法である。,15,
国語,古文基礎,基本,次の歴史的仮名遣いで書かれた語を、現代仮名遣いに直しなさい。「こゑ」,こえ,語中の「ゑ」は現代仮名遣いでは「え」に直すという歴史的仮名遣いの規則による。,5,
国語,古文基礎,標準,次の歴史的仮名遣いで書かれた語を、現代仮名遣いに直しなさい。「まゐる」,まいる,語中の「ゐ」は現代仮名遣いでは「い」に直すという歴史的仮名遣いの規則による。,10,
国語,古文基礎,標準,古文で使われる「うつくしい」の意味を答えなさい。,かわいらしい,古語の「うつくしい」は現代語の「美しい」とは違い、「かわいらしい」という意味で使われることが多い。,10,
国語,古文基礎,応用,古文で使われる「めでたし」の意味を答えなさい。,すばらしい、喜ばしい,古語の「めでたし」は、すばらしい、祝うべきだ、という意味を表す形容詞である。,15,
国語,読解,基本,"次の文章を読んで、後の問いに答えなさい。

小さいころ、私は絵を描くことが苦手だった。図工の時間になると、いつも下手な絵しか描けず、クラスの友達に笑われるのではないかと不安だった。しかし、五年生のとき担任の先生が『上手かどうかより、何を感じて描いたかが大切だよ』と声をかけてくれた。その言葉を聞いてから、私は失敗を恐れずに好きなように筆を動かせるようになった。今では絵を描く時間が、一日の中で一番心が落ち着く時間になっている。

問い：「私」が図工の時間に不安を感じていた理由を、文章中の言葉を使って答えなさい。",友達に笑われるのではないかと思ったから,文章中に「下手な絵しか描けず、クラスの友達に笑われるのではないか」と書かれていることから読み取れる。,5,
国語,読解,標準,"次の文章を読んで、後の問いに答えなさい。

小さいころ、私は絵を描くことが苦手だった。図工の時間になると、いつも下手な絵しか描けず、クラスの友達に笑われるのではないかと不安だった。しかし、五年生のとき担任の先生が『上手かどうかより、何を感じて描いたかが大切だよ』と声をかけてくれた。その言葉を聞いてから、私は失敗を恐れずに好きなように筆を動かせるようになった。今では絵を描く時間が、一日の中で一番心が落ち着く時間になっている。

問い：担任の先生の言葉を聞いた後、「私」の絵に対する気持ちはどのように変化したか、簡潔に答えなさい。",失敗を恐れずに描けるようになった,先生の言葉をきっかけに、失敗を恐れる気持ちから、失敗を恐れずに描けるという気持ちに変化したことが読み取れる。,10,
国語,読解,応用,"次の文章を読んで、後の問いに答えなさい。

小さいころ、私は絵を描くことが苦手だった。図工の時間になると、いつも下手な絵しか描けず、クラスの友達に笑われるのではないかと不安だった。しかし、五年生のとき担任の先生が『上手かどうかより、何を感じて描いたかが大切だよ』と声をかけてくれた。その言葉を聞いてから、私は失敗を恐れずに好きなように筆を動かせるようになった。今では絵を描く時間が、一日の中で一番心が落ち着く時間になっている。

問い：現在の「私」が絵を描く時間についてどのように感じているか、文章中の言葉を使って答えなさい。",心が落ち着く時間だと感じている,文章の最後に「一日の中で一番心が落ち着く時間になっている」と書かれていることから読み取れる。,15,
国語,読解,応用,"次の文章を読んで、後の問いに答えなさい。

小さいころ、私は絵を描くことが苦手だった。図工の時間になると、いつも下手な絵しか描けず、クラスの友達に笑われるのではないかと不安だった。しかし、五年生のとき担任の先生が『上手かどうかより、何を感じて描いたかが大切だよ』と声をかけてくれた。その言葉を聞いてから、私は失敗を恐れずに好きなように筆を動かせるようになった。今では絵を描く時間が、一日の中で一番心が落ち着く時間になっている。

問い：この文章で先生の言葉が伝えている考え方を、文章中の言葉を使って答えなさい。",何を感じて描いたかが大切だという考え方,先生の言葉「上手かどうかより、何を感じて描いたかが大切だよ」に、結果より過程や気持ちを重視する考え方が表れている。,15,
国語,敬語,基本,「する」を尊敬語に直しなさい。,なさる,「なさる」は「する」の動作主を高める尊敬語である。,5,
国語,敬語,標準,「見る」を謙譲語に直しなさい。,拝見する,「拝見する」は自分の「見る」という行為を控えめに表す謙譲語である。,10,
国語,敬語,標準,次の文の傍線部「ご覧になる」の敬語の種類を答えなさい。「先生、こちらの資料をご覧になりましたか。」,尊敬語,「ご覧になる」は「見る」の動作主である先生を高めて表す尊敬語である。,10,
国語,敬語,応用,「会う」を謙譲語に直しなさい。,お目にかかる,「お目にかかる」は自分が「会う」という行為を控えめに表す謙譲語である。,15,
数学,展開と因数分解,基本,次の式を展開しなさい。(x+4)(x-2),x²+2x-8,(x+a)(x+b)=x²+(a+b)x+ab の公式にa=4、b=-2を当てはめて計算する。,5,
数学,展開と因数分解,標準,次の式を因数分解しなさい。x²+3x-18,(x+6)(x-3),積が-18、和が3となる2つの数6と-3を見つけて、(x+6)(x-3)の形にする。,10,
数学,展開と因数分解,応用,次の式を因数分解しなさい。(x+5)²-9,(x+2)(x+8),A²-B²=(A+B)(A-B)の公式を用い、A=x+5、B=3として、(x+5+3)(x+5-3)と変形する。,15,
数学,平方根,基本,√63 をできるだけ簡単な形に表しなさい。,3√7,63=9×7と分解し、√9=3を根号の外に出して3√7とする。,5,
数学,平方根,標準,√48-√27 を計算しなさい。,√3,√48=4√3、√27=3√3と変形して、4√3-3√3=√3と計算する。,10,
数学,平方根,応用,(√5+√3)² を計算しなさい。,8+2√15,(a+b)²=a²+2ab+b²の公式より、5+2√15+3=8+2√15となる。,15,
数学,二次方程式,基本,次の方程式を解きなさい。x²-49=0,x=±7,x²=49の両辺の平方根をとり、x=±7となる。,5,
数学,二次方程式,標準,次の方程式を解きなさい。x²-x-20=0,"x=5, x=-4",積が-20、和が-1となる2数5と-4を見つけて(x-5)(x+4)=0と因数分解し解く。,10,
数学,二次方程式,応用,次の方程式を解きなさい。3x²-5x-2=0,"x=2, x=-1/3","左辺を因数分解すると(3x+1)(x-2)=0となり、x=-1/3、2が得られる。",15,
数学,二次関数,基本,関数y=2x²について、x=3のときのyの値を求めなさい。,18,y=2x²にx=3を代入すると、y=2×9=18となる。,5,
数学,二次関数,標準,関数y=-2x²について、xの値が1から4まで増加するときの変化の割合を求めなさい。,-10,x=1のときy=-2、x=4のときy=-32なので、変化の割合は(-32-(-2))÷(4-1)=-10となる。,10,
数学,相似な図形,標準,相似な2つの図形の相似比が2:7であるとき、面積比を求めなさい。,4:49,面積比は相似比の2乗になるので、2²:7²=4:49となる。,10,
数学,相似な図形,応用,△ABCにおいて、辺AB上に点D、辺AC上に点Eをとり、DE//BCとする。AD=4cm、AB=10cm、BC=15cmのとき、DEの長さを求めなさい。,6cm,DE//BCより△ADE∽△ABCで、相似比はAD:AB=4:10=2:5なので、DE=15×2/5=6cmとなる。,15,
数学,円の性質（円周角の定理）,基本,円Oにおいて、ある弧に対する円周角の大きさが42°であるとき、その弧に対する中心角の大きさを求めなさい。,84°,円周角の定理より、中心角は円周角の2倍になるので、42°×2=84°となる。,5,
数学,円の性質（円周角の定理）,標準,円に内接する四角形ABCDにおいて、∠A=110°であるとき、∠Cの大きさを求めなさい。,70°,円に内接する四角形の対角の和は180°になるので、∠C=180°-110°=70°となる。,10,
数学,三平方の定理,基本,直角三角形の直角をはさむ2辺の長さがそれぞれ6cm、8cmであるとき、斜辺の長さを求めなさい。,10cm,三平方の定理より、斜辺の2乗=6²+8²=100なので、斜辺=10cmとなる。,5,
数学,三平方の定理,標準,直角三角形の斜辺の長さが17cm、1辺の長さが8cmであるとき、もう1辺の長さを求めなさい。,15cm,三平方の定理より、もう1辺の2乗=17²-8²=225なので、もう1辺=15cmとなる。,10,
数学,三平方の定理,応用,底辺の長さが16cm、等しい2辺の長さが10cmの二等辺三角形がある。この三角形の高さを求めなさい。,6cm,底辺の中点から頂点までの高さを求めると、底辺の半分8cmと斜辺10cmから、高さ=√(10²-8²)=6cmとなる。,15,
数学,標本調査,標準,白玉だけが入っている袋に、同じ大きさの赤玉20個を入れてよくかき混ぜた。この袋から40個を取り出したところ、赤玉が5個含まれていた。もとの袋に入っていた白玉の個数を推定しなさい。,140個,標本における赤玉の割合5/40=1/8が全体でも成り立つと考えると、赤玉20個は全体の1/8にあたるので全体は160個、白玉は160-20=140個と推定できる。,10,
数学,標本調査,応用,ある工場で生産された4500個の製品から150個を抽出して調べたところ、不良品が6個含まれていた。この工場で生産された4500個の製品全体における不良品の個数を推定しなさい。,180個,標本での不良品の割合6/150=1/25が全体でも成り立つと考え、4500×1/25=180個と推定できる。,15,
英語,現在完了,基本,次の日本語を英語にしなさい。「私は今までにその本を3回読んだことがあります。」,I have read that book three times before.,「~したことがある」という経験は現在完了〈have/has+過去分詞〉で表し、回数を表す語やbeforeとともに使う。,5,
英語,現在完了,標準,次の日本語を英語にしなさい。「彼女は5年間ずっとこの会社で働いています。」,She has worked for this company for five years.,「ずっと~している」という継続は現在完了で表し、期間にはforを使う。,10,
英語,現在完了,応用,次の日本語を英語にしなさい。「彼はちょうど宿題を終えたところです。」,He has just finished his homework.,「ちょうど~したところだ」という完了の意味はhave/has just+過去分詞で表す。,15,
英語,受け身,基本,次の日本語を英語にしなさい。「このパソコンは毎日使われています。」,This computer is used every day.,現在の受け身は〈be動詞+過去分詞〉で表し、主語がcomputerなのでisを使う。,5,
英語,受け身,標準,次の日本語を英語にしなさい。「その手紙はきのう彼女によって書かれました。」,That letter was written by her yesterday.,過去の受け身は〈was/were+過去分詞〉で表す。writeの過去分詞はwritten。,10,
英語,受け身,応用,次の日本語を英語にしなさい。「この教室はまだ掃除されていません。」,This classroom has not been cleaned yet.,現在完了の受け身は〈have/has been+過去分詞〉で表し、否定文で「まだ~していない」はyetを使う。,15,
英語,分詞,基本,次の日本語を英語にしなさい。「あそこで走っている男の子は私の弟です。」,The boy running over there is my brother.,「~している(名詞)」は現在分詞(-ing形)を名詞の後に置いて表す。,5,
英語,分詞,標準,次の日本語を英語にしなさい。「これはフランスで作られたバッグです。」,This is a bag made in France.,「~された(名詞)」は過去分詞を名詞の後に置いて表す。,10,
英語,分詞,応用,次の日本語を英語にしなさい。「木の下で眠っている猫を見てください。」,Please look at the cat sleeping under the tree.,現在分詞を使い、sleeping under the treeがcatを後ろから修飾する形にする。,15,
英語,関係代名詞,基本,次の日本語を英語にしなさい。「私には英語を教えている姉がいます。」,I have a sister who teaches English.,人を説明する関係代名詞はwhoを使い、who teaches Englishがsisterを修飾する。,5,
英語,関係代名詞,標準,次の日本語を英語にしなさい。「これは彼が去年書いた本です。」,This is the book which he wrote last year.,物を説明する関係代名詞はwhich(またはthat)を使い、目的格の関係代名詞として文をつなぐ。,10,
英語,関係代名詞,応用,次の日本語を英語にしなさい。「昨日私が会った女性は医者でした。」,The woman that I met yesterday was a doctor.,目的格の関係代名詞thatがwomanを修飾し、文全体の主語に対する動詞はwasになる点に注意する。,15,
英語,不定詞の応用,基本,次の日本語を英語にしなさい。「彼にとって英語を話すことは簡単です。」,It is easy for him to speak English.,「~にとって…することは―だ」は〈It is+形容詞+for 人+to+動詞〉で表す。,5,
英語,不定詞の応用,標準,次の日本語を英語にしなさい。「彼女はどのバスに乗ればいいか知りません。」,She doesn't know which bus to take.,「疑問詞+to+動詞」でwhich bus to takeとし、knowの目的語として使う。,10,
英語,不定詞の応用,標準,次の日本語を英語にしなさい。「どうやってこの機械を使うか私に教えてください。」,Please tell me how to use this machine.,「疑問詞+to+動詞」のhow to useは「~の使い方」を表し、tell meの後に置く。,10,
英語,比較,基本,次の日本語を英語にしなさい。「この山はあの山よりも高いです。」,This mountain is higher than that mountain.,比較級は形容詞に-erをつけ、than~で「~よりも」を表す。highの比較級はhigher。,5,
英語,比較,標準,次の日本語を英語にしなさい。「これはこの店で一番高価な時計です。」,This is the most expensive watch in this shop.,つづりが長い形容詞の最上級はthe most+形容詞で表し、範囲はin this shopのようにinを使う。,10,
英語,比較,応用,次の日本語を英語にしなさい。「彼は彼の兄と同じくらい速く走ることができます。」,He can run as fast as his brother.,「~と同じくらい…」はas+形容詞/副詞+asで表し、ここでは副詞fastを使う。,15,
英語,間接疑問文,標準,次の日本語を英語にしなさい。「彼がどこに住んでいるか知っていますか。」,Do you know where he lives?,間接疑問文では疑問詞の後の語順が平叙文と同じ(he lives)になる点に注意する。,10,
英語,間接疑問文,応用,次の日本語を英語にしなさい。「彼女がなぜ怒っているのか私に教えてください。」,Please tell me why she is angry.,間接疑問文はwhy以下が疑問文の語順ではなく、平叙文の語順(she is)になる。,15,
理科,化学変化とイオン,基本,塩化ナトリウムのように、水にとかしたときに電流が流れる物質を何というか。,電解質,電解質は水に溶けると陽イオンと陰イオンに分かれ(電離)、水溶液に電流が流れる物質である。,5,
理科,化学変化とイオン,標準,うすい塩酸を電気分解すると、陽極から発生する気体は何か。,塩素,塩酸(HCl)を電気分解すると、陰極から水素、陽極から塩素が発生する。,10,
理科,化学変化とイオン,応用,マグネシウム原子がうすい塩酸中で電子を失ってマグネシウムイオン(Mg2+)になるとき、放出する電子は何個か。,2個,マグネシウム原子は最外殻の電子を2個失ってMg2+になり、その電子は塩酸中の水素イオンに渡されて水素が発生する。,15,
理科,酸・アルカリと中和,基本,酸の水溶液とアルカリの水溶液を混ぜ合わせたときに、互いの性質を打ち消し合う反応を何というか。,中和,酸の水素イオンとアルカリの水酸化物イオンが結びついて水になり、互いの性質を打ち消し合う。,5,
理科,酸・アルカリと中和,標準,塩酸と水酸化ナトリウム水溶液の中和反応で、水素イオンと水酸化物イオンが結びついてできる物質は何か。,水,H+とOH-が結合すると水(H2O)ができ、これが中和反応の基本である。,10,
理科,酸・アルカリと中和,応用,あるうすい塩酸20cm3をちょうど中性にするのに、うすい水酸化ナトリウム水溶液15cm3を要した。同じ濃度の塩酸を40cm3用意し、同じ水酸化ナトリウム水溶液で中性にするには何cm3必要か。,30cm3,塩酸と水酸化ナトリウム水溶液の体積は比例するため、20:15=40:xよりx=30cm3となる。,15,
理科,遺伝の規則性,基本,生物がもつ、形や大きさ、色などの特徴を何というか。,形質,形質は遺伝によって親から子に伝えられる、生物の体の特徴のことである。,5,
理科,遺伝の規則性,標準,エンドウの花の色について、紫花の遺伝子をA、白花の遺伝子をaとする。AAの純系とaaの純系を交配して得られた子(Aa)の花の色は何色か。,紫色,対になった遺伝子のうち優性のAが現れるため、子(Aa)はすべて紫色の花になる。,10,
理科,遺伝の規則性,応用,上の子(Aa)を自家受粉させてできた孫の種子800個のうち、白色の花になると考えられる個体数は何個か。,200個,孫の代の遺伝子の組み合わせはAA:Aa:aa=1:2:1に分離するため、白花(aa)は全体の4分の1で、800×1/4=200個となる。,15,
理科,力と運動・力学的エネルギー,基本,物体が一定の速さで一直線上を進む運動を何というか。,等速直線運動,速さも方向も変化しない運動を等速直線運動という。,5,
理科,力と運動・力学的エネルギー,標準,1秒間に50回打点する記録タイマーを使い、テープを5打点ごとに切って長さを測ったところ4.0cmだった。この間の物体の平均の速さは何cm/sか。,40cm/s,5打点分の時間は5/50=0.1秒であり、4.0cm÷0.1秒=40cm/sとなる。,10,
理科,力と運動・力学的エネルギー,応用,質量3kgの物体が斜面をすべり、ある地点で速さ4m/sになった。このときの運動エネルギーは何Jか。ただし運動エネルギー[J]=1/2×質量[kg]×速さ[m/s]の2乗とする。,24J,運動エネルギー=1/2×3×4の2乗=24Jと求められる。,15,
理科,仕事とエネルギー,基本,力の大きさ[N]と、力の向きに動いた距離[m]の積で表される量を何というか。,仕事,仕事[J]=力の大きさ[N]×力の向きに動いた距離[m]で求められる。,5,
理科,仕事とエネルギー,標準,質量20kgの物体を、真上に4mの高さまで一定の速さで持ち上げた。このとき重力に逆らってした仕事は何Jか。ただし100gの物体にはたらく重力を1Nとする。,800J,物体にはたらく重力は200N、持ち上げた距離は4mなので、仕事=200N×4m=800Jとなる。,10,
理科,仕事とエネルギー,応用,動滑車を使って荷物を持ち上げると、ひもを引く力は直接持ち上げるときの半分になるが、ひもを引く距離は2倍になり、結果として仕事の大きさは道具を使わない場合と変わらない。この関係を何というか。,仕事の原理,道具を使っても仕事の大きさは変わらないという関係を仕事の原理という。,15,
理科,天体,基本,太陽が1日のうちで最も高くなり、真南にくることを何というか。,南中,太陽が真南にきて、高度が1日のうちで最も高くなることを南中という。,5,
理科,天体,標準,太陽・地球・月が一直線に並び、月が地球の影に入ることで月が欠けて見える現象を何というか。,月食,地球が太陽と月の間に入り、月が地球の影に入ることで月食が起こる。,10,
理科,天体,応用,地球の地軸は、公転面に垂直な方向から約23.4度傾いている。この地軸の傾きによって地球上に生じる現象を答えよ。,季節の変化（四季ができる）,地軸が傾いているため、太陽の高度や昼の長さが季節によって変化し、四季が生じる。,15,
理科,科学技術と環境,標準,化石燃料の大量消費などによって大気中の温室効果ガスが増加し、地球全体の平均気温が上昇していく現象を何というか。,地球温暖化,二酸化炭素などの温室効果ガスの増加により、地球全体の気温が上昇する現象を地球温暖化という。,10,
理科,科学技術と環境,標準,エネルギーを利用する際、目的以外の熱などに変わってしまう分を除いた、目的のエネルギーに変換できた割合を何というか。,エネルギー変換効率,投入したエネルギーのうち、実際に目的の仕事に利用できたエネルギーの割合をエネルギー変換効率という。,10,
社会,歴史（近代日本の歩み）,基本,明治政府が近代国家を築くために掲げた、経済力を高めて軍事力を強化するという政策の基本方針を何というか。,富国強兵,明治政府は欧米列強に対抗できる近代国家をつくるため、殖産興業や徴兵制などを通じて富国強兵の政策を進めた。,5,
社会,歴史（近代日本の歩み）,標準,1902年、ロシアの南下政策に対抗するために日本がイギリスと結んだ同盟を何というか。,日英同盟,満州や朝鮮への進出をめぐりロシアと対立していた日本は、イギリスと日英同盟を結んで日露戦争に備えた。,10,
社会,歴史（戦後の日本の復興）,標準,第二次世界大戦後、GHQの指令により、日本経済を支配していた三井・三菱などの巨大企業グループを解体した政策を何というか。,財閥解体,GHQは経済の民主化を進めるため、財閥が持つ株式を分散させるなどして財閥解体を実施した。,10,
社会,公民：人権と日本国憲法,基本,日本国憲法第28条で保障されている、団結権・団体交渉権・団体行動権をまとめて何というか。,労働基本権,労働者が使用者と対等な立場で交渉できるようにするため、憲法は団結権・団体交渉権・団体行動権からなる労働基本権を保障している。,5,
社会,公民：人権と日本国憲法,標準,憲法に直接の規定はないが、社会の変化にともなって主張されるようになった「新しい人権」のうち、良好な環境で生活する権利を何というか。,環境権,高度経済成長期に公害問題が深刻化したことなどを背景に、良い環境の中で暮らす権利として環境権が主張されるようになった。,10,
社会,公民：人権と日本国憲法,応用,日本国憲法の考え方に基づき、社会保険・社会福祉・公的扶助・公衆衛生の4つの分野からなる、国民の生活を支える制度を何というか。,社会保障制度,国が国民の健康で人間らしい生活を保障するため、医療保険や年金などを含む社会保障制度を整備している。,15,
社会,公民：国会・内閣・裁判所のしくみ,標準,衆議院が内閣を信任できないと判断したときに可決する決議を何というか。,内閣不信任決議,衆議院で内閣不信任決議が可決されると、内閣は10日以内に衆議院を解散するか総辞職しなければならない。,10,
社会,公民：国会・内閣・裁判所のしくみ,基本,裁判を慎重かつ公正に行うために、同一の事件について3回まで裁判を受けられる制度を何というか。,三審制,裁判の誤りを防ぎ人権を守るため、第一審の判決に不服がある場合、控訴・上告によって上級の裁判所で再審理を求められる三審制がとられている。,5,
社会,公民：国会・内閣・裁判所のしくみ,応用,国民の中から選ばれた人が刑事裁判に参加し、裁判官とともに被告人の有罪・無罪や刑罰の内容を判断する制度を何というか。,裁判員制度,国民の視点を裁判に反映させるため、くじで選ばれた裁判員が裁判官とともに重大な刑事事件の審理に参加する裁判員制度が導入されている。,15,
社会,公民：地方自治,基本,地方公共団体の住民が、一定数以上の署名を集めることで首長の解職や議会の解散などを求めることができる権利を何というか。,直接請求権,住民が政治に直接参加できるよう、条例の制定・改廃や首長の解職などを請求できる直接請求権が地方自治法で認められている。,5,
社会,公民：地方自治,標準,地方公共団体が住民税や固定資産税などとして独自に集める、自主財源の中心となる収入を何というか。,地方税,地方公共団体は住民から地方税を集めて財源とするが、それだけでは不足するため国からの補助も受けている。,10,
社会,公民：地方自治,応用,国が特定の事業を行うことを目的として、使途を指定して地方公共団体に支出する補助金を何というか。,国庫支出金,道路整備や教育など特定の事業の実施を条件に、国が地方公共団体に支出する補助金を国庫支出金という。,15,
社会,公民：経済のしくみ,基本,消費者が自分の意思と判断で、商品やサービスを自由に選んで購入できるという考え方を何というか。,消費者主権,市場経済において何をどれだけ生産するかは、最終的に消費者の選択によって決まるべきだという考え方を消費者主権という。,5,
社会,公民：経済のしくみ,標準,株式会社が事業資金を集めるために発行し、購入した人が経営への参加や利益の配当を受ける権利を持つ証券を何というか。,株式,株式会社は株式を発行して多くの人から資金を集め、株式を購入した株主は株主総会での議決権や配当を受ける権利を持つ。,10,
社会,公民：経済のしくみ,応用,少数の大企業が市場の大部分を占め、価格や生産量に強い影響力をもつ状態を何というか。,寡占,自動車や家電などの業界のように、少数の企業が市場の大半のシェアを占めて価格に強い影響力を持つ状態を寡占という。,15,
社会,公民：財政と金融,基本,国や地方公共団体が、税金などを財源として行う経済活動を何というか。,財政,国や地方公共団体が税金などを収入として、公共サービスの提供や社会資本の整備などを行う経済活動を財政という。,5,
社会,公民：財政と金融,標準,不景気のときに政府が公共事業を増やしたり減税を行ったりして景気を回復させようとする政策を何というか。,財政政策,政府は不景気の際に公共事業を増やしたり減税をしたりして需要を生み出し、景気を回復させる財政政策を行う。,10,
社会,公民：財政と金融,応用,日本銀行が持つ3つの性格のうち、政府の資金を管理し、税金の受け入れや公共事業費の支払いなどを行う役割を何というか。,政府の銀行,日本銀行は「発券銀行」「銀行の銀行」に加えて、政府の資金の出し入れを行う政府の銀行としての役割も持つ。,15,
社会,公民：国際社会と平和,標準,世界の平和と安全の維持について主要な責任を持つ国際連合の機関を何というか。,安全保障理事会,安全保障理事会は常任理事国5か国と非常任理事国10か国で構成され、国連の中で世界の平和と安全の維持に主要な責任を持つ機関である。,10,
社会,公民：国際社会と平和,応用,2015年に採択された、京都議定書に代わる温暖化対策の新しい国際的な枠組みを何というか。,パリ協定,パリ協定は先進国だけでなく発展途上国を含むすべての参加国に温室効果ガス削減の努力を求める、地球温暖化対策の国際的な枠組みである。,15,
