教科,単元,難易度,問題,解答,解説,ポイント,期限
国語,漢字の読み書き,基本,次の傍線部の漢字の読み方をひらがなで書きなさい。「彼の説明はいつも曖昧だ。」,あいまい,「曖昧」は、はっきりせず、どちらとも取れる様子を表す言葉である。,5,
国語,漢字の読み書き,基本,次の傍線部のひらがなを漢字に直しなさい。「新しい事業のきぼを拡大する。」,規模,「規模」は、物事の構造や仕組みの大きさを表す言葉である。,5,
国語,漢字の読み書き,標準,次の傍線部の漢字の読み方をひらがなで書きなさい。「この地域では地震が頻繁に発生する。」,ひんぱん,「頻繁」は、同じことが何度も繰り返し起こる様子を表す。,10,
国語,漢字の読み書き,標準,次の傍線部のひらがなを漢字に直しなさい。「事故の再発をけねんしている。」,懸念,「懸念」は、気にかかって心から離れないこと、心配することを表す言葉である。,10,
国語,漢字の読み書き,応用,次の傍線部のひらがなを漢字に直しなさい。「水のじゅんかんについて理科の授業で学んだ。」,循環,「循環」は、一定の道筋をひと回りして元に戻ることを繰り返す様子を表す。,15,
国語,文法,基本,次の文の傍線部の品詞名を答えなさい。「彼はとても速く走る。」の「速く」,形容詞,「速く」は形容詞「速い」の連用形で、活用する自立語である。,5,
国語,文法,標準,次の動詞の活用の種類を答えなさい。「歩く」,五段活用,「歩く」は語尾がア・イ・ウ・エ段など五段にわたって変化するため五段活用である。,10,
国語,文法,標準,次の文の傍線部の助詞の種類を答えなさい。「公園で友達と遊ぶ。」の「で」,格助詞,「で」は体言に付いて動作の行われる場所を示す格助詞である。,10,
国語,文法,応用,次の文の傍線部が形容詞か形容動詞かを答えなさい。「彼女はいつも元気だ。」の「元気だ」,形容動詞,「元気だ」は言い切りの形が「だ」で終わり、状態を表して活用する形容動詞である。,15,
国語,古文基礎,基本,次の歴史的仮名遣いを現代仮名遣いに直しなさい。「かへる」,かえる,語中・語尾のハ行「へ」は現代仮名遣いでワ行の「え」に直す。,5,
国語,古文基礎,標準,次の歴史的仮名遣いを現代仮名遣いに直しなさい。「にほひ」,におい,語中・語尾のハ行「ひ」はワ行の「い」に直すため、「にほひ」は「におい」となる。,10,
国語,古文基礎,標準,古語「あはれ」の意味を答えなさい。,しみじみとした趣,「あはれ」は、深い感動やしみじみとした趣・情趣を表す古語である。,10,
国語,古文基礎,応用,古語「をかし」の意味を答えなさい。,趣がある,「をかし」は、興味深い・趣がある・こっけいだ、といった意味を持つ古語である。,15,
国語,読解,基本,"次の文章を読んで答えなさい。「今日はクラスの合唱コンクールの練習日だった。恵子は指揮者を任されたが、みんなをまとめる自信がなく、朝から胸がざわついていた。しかし、いざ指揮棒を振り始めると、クラス全員の声が一つにまとまっていくのを感じ、恵子の不安は少しずつ消えていった。」本文中から、恵子が朝から感じていた気持ちを表す部分を抜き出しなさい。",胸がざわついていた,指揮者としての自信がなく落ち着かない恵子の心情が「胸がざわついていた」と表現されている。,5,
国語,読解,応用,"上の文章について、恵子の不安が少しずつ消えていったのはなぜか、本文の内容に即して簡潔に答えなさい。",クラス全員の声が一つにまとまっていくのを感じたから,指揮を振るうちに、クラス全員の声がまとまっていく様子を実感したことで恵子の不安が和らいでいった。,15,
国語,読解,標準,"次の文章を読んで答えなさい。「弟の健太は、四月に転校してきたばかりで、休み時間になるといつも一人で窓の外を眺めていた。ある日、隣の席の男の子が健太に声をかけ、一緒にサッカーをしようと誘った。健太は驚きながらも嬉しくなり、久しぶりに大きな声で笑った。」転校してきてから、健太が休み時間にしていた行動を本文中から答えなさい。",一人で窓の外を眺めていた,転校直後で友達がいなかった健太は、休み時間はいつも一人で窓の外を眺めて過ごしていた。,10,
国語,読解,応用,"上の文章について、健太が「久しぶりに大きな声で笑った」のはなぜか、簡潔に答えなさい。",隣の席の男の子にサッカーに誘われて嬉しかったから,転校後初めて声をかけられ一緒に遊ぶ誘いを受けたことで、健太はうれしくなり久しぶりに笑うことができた。,15,
国語,敬語,基本,「食べる」の尊敬語を答えなさい。,召し上がる,「召し上がる」は「食べる」「飲む」の尊敬語で、相手の動作を高めて表す言葉である。,5,
国語,敬語,標準,「言う」の謙譲語を答えなさい。,申す,「申す」は「言う」の謙譲語で、自分の動作をへりくだって表す言葉である。,10,
国語,敬語,応用,次の文の傍線部を、正しい尊敬語に直しなさい。「先生、こちらの資料を見ますか。」の「見ますか」,ご覧になりますか,「見る」の尊敬語は「ご覧になる」で、目上の人の動作を高めて表現する。,15,
数学,展開と因数分解,基本,(x+6)(x-4)を展開せよ。,x²+2x-24,(x+6)(x-4)=x²+(6-4)x+6×(-4)=x²+2x-24となる。,5,
数学,展開と因数分解,標準,x²-4x-21を因数分解せよ。,(x-7)(x+3),積が-21、和が-4となる2数は-7と3なので(x-7)(x+3)となる。,10,
数学,展開と因数分解,応用,x=48のとき、x²-4x+4の値を求めよ。,2116,x²-4x+4=(x-2)²なので、(48-2)²=46²=2116となる。,15,
数学,平方根,基本,√98をできるだけ簡単な形に表せ。,7√2,98=49×2なので、√98=√49×√2=7√2となる。,5,
数学,平方根,標準,√54-√6を計算せよ。,2√6,√54=3√6なので、3√6-√6=2√6となる。,10,
数学,平方根,応用,(√7-√2)²を計算せよ。,9-2√14,(√7-√2)²=7-2√14+2=9-2√14となる。,15,
数学,二次方程式,基本,x²-2x-24=0を解け。,"x=6,-4","因数分解すると(x-6)(x+4)=0となるので、x=6,-4となる。",5,
数学,二次方程式,標準,解の公式を用いて、x²+4x-1=0を解け。,x=-2±√5,解の公式にa=1、b=4、c=-1を代入すると、x=(-4±√20)/2=-2±√5となる。,10,
数学,二次方程式,応用,連続する2つの正の整数があり、それぞれを2乗した数の和が145であるとき、小さい方の整数を求めよ。,8,小さい方をnとすると、n²+(n+1)²=145より整理してn²+n-72=0となり、(n-8)(n+9)=0からn=8となる。,15,
数学,二次関数,基本,関数y=4x²について、x=-3のときのyの値を求めよ。,36,y=4×(-3)²=4×9=36となる。,5,
数学,二次関数,標準,"関数y=ax²のグラフが点(3,-18)を通るとき、aの値を求めよ。",-2,-18=a×3²=9aより、a=-2となる。,10,
数学,二次関数,応用,関数y=3x²について、xの値が2から5まで増加するときの変化の割合を求めよ。,21,x=2のときy=12、x=5のときy=75なので、変化の割合は(75-12)/(5-2)=21となる。,15,
数学,相似な図形,標準,相似な2つの図形の相似比が4:7のとき、面積比を求めよ。,16:49,面積比は相似比の2乗になるので、4²:7²=16:49となる。,10,
数学,相似な図形,応用,相似な2つの立体の相似比が3:4であり、小さい方の立体の体積が54cm³のとき、大きい方の立体の体積を求めよ。,128cm³,体積比は相似比の3乗で27:64となるので、54×64/27=128cm³となる。,15,
数学,円の性質,基本,円Oにおいて、弧ABに対する円周角が28°であるとき、弧ABに対する中心角の大きさを求めよ。,56°,中心角は円周角の2倍なので、28°×2=56°となる。,5,
数学,円の性質,標準,円に内接する四角形ABCDにおいて、∠A=95°であるとき、∠Cの大きさを求めよ。,85°,円に内接する四角形の対角の和は180°なので、180°-95°=85°となる。,10,
数学,三平方の定理,標準,直角をはさむ2辺の長さが7cmと24cmである直角三角形の斜辺の長さを求めよ。,25cm,7²+24²=49+576=625=25²より、斜辺の長さは25cmとなる。,10,
数学,三平方の定理,応用,縦3cm、横4cm、高さ12cmの直方体の対角線の長さを求めよ。,13cm,対角線の長さは√(3²+4²+12²)=√169=13cmとなる。,15,
数学,標本調査,基本,大きな箱の中の製品からランダムに150個取り出して調べたところ、不良品が3個含まれていた。この製品10000個の中には、不良品はおよそ何個含まれていると推定されるか。,200個,標本での不良品の割合3/150を全体にかけて、10000×3/150=200個と推定できる。,5,
数学,標本調査,標準,袋の中に赤玉と白玉が合わせて800個入っている。この袋から40個の玉を取り出したところ、赤玉が6個含まれていた。この袋の中には赤玉がおよそ何個入っていると推定されるか。,120個,標本での赤玉の割合6/40を全体800個にかけて、800×6/40=120個と推定できる。,10,
英語,現在完了,基本,次の日本語を英語にしなさい。「彼女は今までに富士山に登ったことがあります。」,She has climbed Mt. Fuji before.,経験を表す現在完了〈have/has+過去分詞〉で「〜したことがある」を表す。climbの過去分詞はclimbed。,5,
英語,現在完了,標準,次の日本語を英語にしなさい。「私の姉は2015年からこの学校で英語を教えています。」,My sister has taught English at this school since 2015.,since+時点を伴う現在完了で「〜以来ずっと…している」という継続の意味を表す。,10,
英語,現在完了,応用,次の日本語を英語にしなさい。「彼らはちょうど昼食を作り終えたところです。」,They have just finished making lunch.,just finishedで「ちょうど〜し終えた」という完了を表す現在完了で、finishの後には動名詞(making)が続く。,15,
英語,受け身,基本,次の日本語を英語にしなさい。「その部屋は毎朝、彼女によって掃除されます。」,That room is cleaned by her every morning.,受け身の基本形〈be動詞+過去分詞(+by〜)〉で「〜される」という意味を表す。,5,
英語,受け身,標準,次の日本語を英語にしなさい。「そのアプリは世界中の学生たちに使われています。」,That app is used by students around the world.,is used byで「〜によって使われている」という受け身の状態を表す。,10,
英語,受け身,応用,次の日本語を英語にしなさい。「これらの野菜はブラジルで栽培されていますか。」,Are these vegetables grown in Brazil?,受け身の疑問文はbe動詞を主語の前に置き、〈Be+主語+過去分詞〜?〉の形にする。,15,
英語,分詞,基本,次の日本語を英語にしなさい。「ギターを弾いている女の子は私のクラスメートです。」,The girl playing the guitar is my classmate.,現在分詞(playing)が後ろから名詞(girl)を修飾し、「ギターを弾いている女の子」という意味を表す。,5,
英語,分詞,標準,次の日本語を英語にしなさい。「これは中国で作られたおもちゃです。」,This is a toy made in China.,過去分詞(made)が後ろから名詞(toy)を修飾し、「中国で作られたおもちゃ」という受け身的な意味を表す。,10,
英語,分詞,応用,次の日本語を英語にしなさい。「ソファの上で眠っている犬を知っていますか。」,Do you know the dog sleeping on the sofa?,現在分詞句(sleeping on the sofa)が名詞(dog)を後ろから修飾し、疑問文の目的語として使われている。,15,
英語,関係代名詞,基本,次の日本語を英語にしなさい。「私には料理が得意な兄がいます。」,I have a brother who is good at cooking.,関係代名詞who(主格)が人を表す先行詞(brother)を修飾し、「料理が得意な兄」という意味になる。,5,
英語,関係代名詞,標準,次の日本語を英語にしなさい。「これは彼が先月作曲した曲です。」,This is the song which he composed last month.,関係代名詞which(目的格)が物を表す先行詞(song)を修飾している。,10,
英語,関係代名詞,応用,次の日本語を英語にしなさい。「私たちが公園で見つけた猫はとても可愛かったです。」,The cat that we found in the park was very cute.,関係代名詞that(目的格)が動物を表す先行詞(cat)を修飾し、文の主語として使われている。,15,
英語,不定詞の応用,基本,次の日本語を英語にしなさい。「彼女にとってピアノを弾くことは楽しいです。」,It is fun for her to play the piano.,〈It is 形容詞 for 人 to 動詞〉で「(人)にとって〜することは…だ」を表す。,5,
英語,不定詞の応用,標準,次の日本語を英語にしなさい。「彼は次に何をするべきか分かりません。」,He doesn't know what to do next.,〈what to do〉で「何をするべきか」という意味になり、doesn't knowの目的語として使われている。,10,
英語,不定詞の応用,応用,次の日本語を英語にしなさい。「彼にとって、次に何を勉強するかを選ぶことは難しいです。」,It is difficult for him to choose what to study next.,形式主語It+for+人+to不定詞の構文に、what to study(疑問詞+to不定詞)を組み合わせた応用表現。,15,
英語,比較,基本,次の日本語を英語にしなさい。「この箱はあの箱より重いです。」,This box is heavier than that box.,比較級(heavier)+thanで二つのものを比べる基本の比較表現。,5,
英語,比較,標準,次の日本語を英語にしなさい。「これはこの店で一番安いかばんです。」,This is the cheapest bag in this shop.,最上級(cheapest)+in〜で「〜の中で一番安い」という意味を表す。,10,
英語,比較,応用,次の日本語を英語にしなさい。「この本はあの本ほど難しくありません。」,This book is not as difficult as that book.,〈not as ~ as〉で「…ほど~ではない」という比較の否定表現を表す。,15,
英語,間接疑問文,標準,次の日本語を英語にしなさい。「彼女がどこで生まれたか教えてもらえますか。」,Could you tell me where she was born?,間接疑問文は〈where+主語+動詞〉の語順になる点に注意する。,10,
英語,間接疑問文,標準,次の日本語を英語にしなさい。「彼が何を欲しがっているか教えてください。」,Please tell me what he wants.,間接疑問文は〈what+主語+動詞〉の語順になり、疑問文のdoesは使わない。,10,
理科,化学変化とイオン,標準,水を電気分解すると、陰極から水素が発生する。このとき陽極から発生する気体は何か。,酸素,水の電気分解では陰極に水素、陽極に酸素が体積比2:1の割合で発生する。,10,
理科,化学変化とイオン,基本,原子が電子を受け取って、－の電気を帯びた粒子になったものを何というか。,陰イオン,原子が電子を受け取ると、－の電気を帯びた陰イオンになる。,5,
